"Tabela 9605 - População residente, por cor ou raça, nos Censos Demográficos"
"Variável - População residente"
"Nível","Cód.","Município","Ano x Cor ou raça"
"Nível","Cód.","Município","2022"
"Nível","Cód.","Município","Branca",,"Preta",,"Amarela",,"Parda",,"Indígena"
"MU","2207751","Passagem Franca do Piauí (PI)","648","Pessoas","825","Pessoas","12","Pessoas","2648","Pessoas","2","Pessoas"
"MU","2207777","Patos do Piauí (PI)","1116","Pessoas","343","Pessoas","-","Pessoas","3966","Pessoas","-","Pessoas"
"MU","2207793","Pau D'Arco do Piauí (PI)","474","Pessoas","178","Pessoas","-","Pessoas","3228","Pessoas","-","Pessoas"
"MU","2207801","Paulistana (PI)","6957","Pessoas","2896","Pessoas","4","Pessoas","10631","Pessoas","567","Pessoas"
"MU","2207850","Pavussu (PI)","549","Pessoas","345","Pessoas","-","Pessoas","2733","Pessoas","1","Pessoas"
"MU","2207900","Pedro II (PI)","14474","Pessoas","1968","Pessoas","20","Pessoas","21407","Pessoas","22","Pessoas"
"MU","2207934","Pedro Laurentino (PI)","596","Pessoas","310","Pessoas","-","Pessoas","1551","Pessoas","-","Pessoas"
"MU","2207959","Nova Santa Rita (PI)","1003","Pessoas","519","Pessoas","-","Pessoas","2552","Pessoas","2","Pessoas"
"MU","2208007","Picos (PI)","29707","Pessoas","7535","Pessoas","46","Pessoas","45718","Pessoas","80","Pessoas"
"MU","2208106","Pimenteiras (PI)","3011","Pessoas","1009","Pessoas","3","Pessoas","7310","Pessoas","8","Pessoas"
"MU","2208205","Pio IX (PI)","4802","Pessoas","1142","Pessoas","1","Pessoas","11655","Pessoas","13","Pessoas"
"MU","2208304","Piracuruca (PI)","7349","Pessoas","1772","Pessoas","56","Pessoas","19647","Pessoas","22","Pessoas"
"MU","2208403","Piripiri (PI)","16287","Pessoas","5624","Pessoas","88","Pessoas","42637","Pessoas","902","Pessoas"
"MU","2208502","Porto (PI)","1333","Pessoas","1528","Pessoas","6","Pessoas","9184","Pessoas","-","Pessoas"
"MU","2208551","Porto Alegre do Piauí (PI)","257","Pessoas","269","Pessoas","-","Pessoas","1838","Pessoas","-","Pessoas"
"MU","2208601","Prata do Piauí (PI)","644","Pessoas","325","Pessoas","2","Pessoas","2068","Pessoas","3","Pessoas"
"MU","2208650","Queimada Nova (PI)","4498","Pessoas","1473","Pessoas","-","Pessoas","2602","Pessoas","165","Pessoas"
"MU","2208700","Redenção do Gurguéia (PI)","983","Pessoas","1885","Pessoas","-","Pessoas","5518","Pessoas","8","Pessoas"
"MU","2208809","Regeneração (PI)","2214","Pessoas","4141","Pessoas","-","Pessoas","10760","Pessoas","18","Pessoas"
"MU","2208858","Riacho Frio (PI)","493","Pessoas","549","Pessoas","-","Pessoas","3123","Pessoas","-","Pessoas"
"MU","2208874","Ribeira do Piauí (PI)","418","Pessoas","712","Pessoas","4","Pessoas","2919","Pessoas","2","Pessoas"
"MU","2208908","Ribeiro Gonçalves (PI)","1191","Pessoas","815","Pessoas","-","Pessoas","4154","Pessoas","4","Pessoas"
"MU","2209005","Rio Grande do Piauí (PI)","1006","Pessoas","803","Pessoas","2","Pessoas","3990","Pessoas","-","Pessoas"
"MU","2209104","Santa Cruz do Piauí (PI)","1147","Pessoas","1011","Pessoas","-","Pessoas","3670","Pessoas","3","Pessoas"
"MU","2209153","Santa Cruz dos Milagres (PI)","357","Pessoas","341","Pessoas","-","Pessoas","2737","Pessoas","-","Pessoas"
"MU","2209203","Santa Filomena (PI)","888","Pessoas","759","Pessoas","27","Pessoas","4368","Pessoas","45","Pessoas"
"MU","2209302","Santa Luz (PI)","876","Pessoas","739","Pessoas","5","Pessoas","3716","Pessoas","-","Pessoas"
"MU","2209351","Santana do Piauí (PI)","1718","Pessoas","202","Pessoas","-","Pessoas","2205","Pessoas","-","Pessoas"
"MU","2209377","Santa Rosa do Piauí (PI)","703","Pessoas","839","Pessoas","-","Pessoas","3108","Pessoas","-","Pessoas"
"MU","2209401","Santo Antônio de Lisboa (PI)","2127","Pessoas","444","Pessoas","5","Pessoas","3260","Pessoas","3","Pessoas"
"MU","2209450","Santo Antônio dos Milagres (PI)","188","Pessoas","204","Pessoas","-","Pessoas","1746","Pessoas","-","Pessoas"
"MU","2209500","Santo Inácio do Piauí (PI)","960","Pessoas","350","Pessoas","-","Pessoas","2336","Pessoas","-","Pessoas"
"MU","2209559","São Braz do Piauí (PI)","1070","Pessoas","450","Pessoas","4","Pessoas","2833","Pessoas","1","Pessoas"
"MU","2209609","São Félix do Piauí (PI)","749","Pessoas","288","Pessoas","-","Pessoas","1805","Pessoas","-","Pessoas"
"MU","2209658","São Francisco de Assis do Piauí (PI)","3208","Pessoas","425","Pessoas","37","Pessoas","1896","Pessoas","6","Pessoas"
"MU","2209708","São Francisco do Piauí (PI)","725","Pessoas","1064","Pessoas","29","Pessoas","3574","Pessoas","-","Pessoas"
"MU","2209757","São Gonçalo do Gurguéia (PI)","314","Pessoas","361","Pessoas","5","Pessoas","2267","Pessoas","-","Pessoas"
"MU","2209807","São Gonçalo do Piauí (PI)","1048","Pessoas","821","Pessoas","-","Pessoas","2968","Pessoas","-","Pessoas"
"MU","2209856","São João da Canabrava (PI)","1310","Pessoas","227","Pessoas","3","Pessoas","2701","Pessoas","1","Pessoas"
"MU","2209872","São João da Fronteira (PI)","1223","Pessoas","323","Pessoas","7","Pessoas","3966","Pessoas","3","Pessoas"
"MU","2209906","São João da Serra (PI)","1280","Pessoas","764","Pessoas","8","Pessoas","4055","Pessoas","7","Pessoas"
"MU","2209955","São João da Varjota (PI)","334","Pessoas","1800","Pessoas","-","Pessoas","2240","Pessoas","8","Pessoas"
"MU","2209971","São João do Arraial (PI)","1356","Pessoas","501","Pessoas","3","Pessoas","6321","Pessoas","5","Pessoas"
"MU","2210003","São João do Piauí (PI)","4433","Pessoas","4792","Pessoas","57","Pessoas","12113","Pessoas","23","Pessoas"
"MU","2210052","São José do Divino (PI)","1180","Pessoas","339","Pessoas","12","Pessoas","3310","Pessoas","-","Pessoas"
"MU","2210102","São José do Peixe (PI)","508","Pessoas","823","Pessoas","3","Pessoas","1963","Pessoas","-","Pessoas"
"MU","2210201","São José do Piauí (PI)","3079","Pessoas","599","Pessoas","-","Pessoas","2919","Pessoas","-","Pessoas"
"MU","2210300","São Julião (PI)","2069","Pessoas","287","Pessoas","-","Pessoas","3669","Pessoas","-","Pessoas"
"MU","2210359","São Lourenço do Piauí (PI)","903","Pessoas","328","Pessoas","-","Pessoas","3178","Pessoas","1","Pessoas"
"MU","2210375","São Luis do Piauí (PI)","789","Pessoas","82","Pessoas","-","Pessoas","1438","Pessoas","-","Pessoas"
"MU","2210383","São Miguel da Baixa Grande (PI)","530","Pessoas","177","Pessoas","5","Pessoas","1557","Pessoas","-","Pessoas"
"MU","2210391","São Miguel do Fidalgo (PI)","459","Pessoas","486","Pessoas","-","Pessoas","1881","Pessoas","3","Pessoas"
"MU","2210409","São Miguel do Tapuio (PI)","4050","Pessoas","1663","Pessoas","13","Pessoas","11797","Pessoas","31","Pessoas"
"MU","2210508","São Pedro do Piauí (PI)","1953","Pessoas","2217","Pessoas","7","Pessoas","9568","Pessoas","6","Pessoas"
"MU","2210607","São Raimundo Nonato (PI)","9187","Pessoas","5753","Pessoas","181","Pessoas","23675","Pessoas","137","Pessoas"
"MU","2210623","Sebastião Barros (PI)","608","Pessoas","424","Pessoas","2","Pessoas","2168","Pessoas","-","Pessoas"
"MU","2210631","Sebastião Leal (PI)","1248","Pessoas","332","Pessoas","-","Pessoas","2864","Pessoas","2","Pessoas"
"MU","2210656","Sigefredo Pacheco (PI)","1718","Pessoas","519","Pessoas","6","Pessoas","7215","Pessoas","2","Pessoas"
"MU","2210706","Simões (PI)","3240","Pessoas","1650","Pessoas","4","Pessoas","9456","Pessoas","-","Pessoas"
"MU","2210805","Simplício Mendes (PI)","2861","Pessoas","2144","Pessoas","55","Pessoas","8787","Pessoas","23","Pessoas"
"MU","2210904","Socorro do Piauí (PI)","481","Pessoas","608","Pessoas","2","Pessoas","3050","Pessoas","-","Pessoas"
"MU","2210938","Sussuapara (PI)","2352","Pessoas","290","Pessoas","-","Pessoas","3576","Pessoas","2","Pessoas"
"MU","2210953","Tamboril do Piauí (PI)","546","Pessoas","273","Pessoas","-","Pessoas","2130","Pessoas","-","Pessoas"
"MU","2210979","Tanque do Piauí (PI)","436","Pessoas","420","Pessoas","-","Pessoas","1453","Pessoas","7","Pessoas"
"MU","2211001","Teresina (PI)","212511","Pessoas","124850","Pessoas","987","Pessoas","526745","Pessoas","1195","Pessoas"
"MU","2211100","União (PI)","7475","Pessoas","5687","Pessoas","25","Pessoas","32905","Pessoas","27","Pessoas"
"MU","2211209","Uruçuí (PI)","5331","Pessoas","2907","Pessoas","43","Pessoas","16663","Pessoas","259","Pessoas"
"MU","2211308","Valença do Piauí (PI)","4736","Pessoas","2948","Pessoas","1","Pessoas","14564","Pessoas","29","Pessoas"
"MU","2211357","Várzea Branca (PI)","889","Pessoas","830","Pessoas","-","Pessoas","3333","Pessoas","3","Pessoas"
"MU","2211407","Várzea Grande (PI)","917","Pessoas","680","Pessoas","-","Pessoas","2817","Pessoas","3","Pessoas"
"MU","2211506","Vera Mendes (PI)","730","Pessoas","156","Pessoas","-","Pessoas","2297","Pessoas","2","Pessoas"
"MU","2211605","Vila Nova do Piauí (PI)","880","Pessoas","105","Pessoas","-","Pessoas","1948","Pessoas","2","Pessoas"
"MU","2211704","Wall Ferraz (PI)","835","Pessoas","414","Pessoas","-","Pessoas","2808","Pessoas","2","Pessoas"
"MU","2300101","Abaiara (CE)","2357","Pessoas","745","Pessoas","11","Pessoas","6920","Pessoas","5","Pessoas"
"MU","2300150","Acarape (CE)","2488","Pessoas","1079","Pessoas","-","Pessoas","10453","Pessoas","7","Pessoas"
"MU","2300200","Acaraú (CE)","16360","Pessoas","3788","Pessoas","49","Pessoas","44571","Pessoas","495","Pessoas"
"MU","2300309","Acopiara (CE)","14381","Pessoas","2862","Pessoas","13","Pessoas","27682","Pessoas","24","Pessoas"
"MU","2300408","Aiuaba (CE)","3385","Pessoas","1128","Pessoas","4","Pessoas","9555","Pessoas","4","Pessoas"
"MU","2300507","Alcântaras (CE)","2044","Pessoas","712","Pessoas","20","Pessoas","8593","Pessoas","-","Pessoas"
"MU","2300606","Altaneira (CE)","1905","Pessoas","715","Pessoas","5","Pessoas","4156","Pessoas","1","Pessoas"
"MU","2300705","Alto Santo (CE)","4154","Pessoas","1093","Pessoas","12","Pessoas","8891","Pessoas","5","Pessoas"
"MU","2300754","Amontada (CE)","9770","Pessoas","1948","Pessoas","34","Pessoas","30338","Pessoas","57","Pessoas"
"MU","2300804","Antonina do Norte (CE)","2698","Pessoas","636","Pessoas","3","Pessoas","3904","Pessoas","4","Pessoas"
"MU","2300903","Apuiarés (CE)","3290","Pessoas","682","Pessoas","4","Pessoas","8939","Pessoas","13","Pessoas"
"MU","2301000","Aquiraz (CE)","20158","Pessoas","6409","Pessoas","75","Pessoas","53546","Pessoas","455","Pessoas"
"MU","2301109","Aracati (CE)","19589","Pessoas","6135","Pessoas","88","Pessoas","49119","Pessoas","177","Pessoas"
"MU","2301208","Aracoiaba (CE)","5648","Pessoas","1651","Pessoas","14","Pessoas","18237","Pessoas","3","Pessoas"
"MU","2301257","Ararendá (CE)","2737","Pessoas","292","Pessoas","23","Pessoas","8029","Pessoas","15","Pessoas"
"MU","2301307","Araripe (CE)","4193","Pessoas","1344","Pessoas","35","Pessoas","14202","Pessoas","9","Pessoas"
"MU","2301406","Aratuba (CE)","1410","Pessoas","555","Pessoas","5","Pessoas","8535","Pessoas","719","Pessoas"
"MU","2301505","Arneiroz (CE)","2535","Pessoas","429","Pessoas","2","Pessoas","4454","Pessoas","8","Pessoas"
"MU","2301604","Assaré (CE)","7577","Pessoas","1526","Pessoas","59","Pessoas","12526","Pessoas","9","Pessoas"
"MU","2301703","Aurora (CE)","7732","Pessoas","1327","Pessoas","26","Pessoas","14623","Pessoas","6","Pessoas"
"MU","2301802","Baixio (CE)","1477","Pessoas","276","Pessoas","6","Pessoas","3935","Pessoas","10","Pessoas"
"MU","2301851","Banabuiú (CE)","4223","Pessoas","919","Pessoas","1","Pessoas","12048","Pessoas","4","Pessoas"
"MU","2301901","Barbalha (CE)","15592","Pessoas","7777","Pessoas","307","Pessoas","51283","Pessoas","74","Pessoas"
"MU","2301950","Barreira (CE)","3760","Pessoas","1076","Pessoas","6","Pessoas","17544","Pessoas","6","Pessoas"
"MU","2302008","Barro (CE)","6204","Pessoas","1474","Pessoas","16","Pessoas","11675","Pessoas","12","Pessoas"
"MU","2302057","Barroquinha (CE)","2648","Pessoas","786","Pessoas","21","Pessoas","11111","Pessoas","1","Pessoas"
"MU","2302107","Baturité (CE)","6959","Pessoas","2891","Pessoas","32","Pessoas","25220","Pessoas","116","Pessoas"
"MU","2302206","Beberibe (CE)","12957","Pessoas","3213","Pessoas","27","Pessoas","36880","Pessoas","37","Pessoas"
"MU","2302305","Bela Cruz (CE)","7031","Pessoas","2492","Pessoas","20","Pessoas","23203","Pessoas","29","Pessoas"
"MU","2302404","Boa Viagem (CE)","14060","Pessoas","2705","Pessoas","41","Pessoas","33205","Pessoas","400","Pessoas"
"MU","2302503","Brejo Santo (CE)","14498","Pessoas","2987","Pessoas","38","Pessoas","33541","Pessoas","26","Pessoas"
"MU","2302602","Camocim (CE)","13221","Pessoas","4085","Pessoas","99","Pessoas","44872","Pessoas","48","Pessoas"
"MU","2302701","Campos Sales (CE)","7861","Pessoas","1953","Pessoas","85","Pessoas","15220","Pessoas","15","Pessoas"
"MU","2302800","Canindé (CE)","17315","Pessoas","4566","Pessoas","205","Pessoas","51655","Pessoas","432","Pessoas"
"MU","2302909","Capistrano (CE)","2849","Pessoas","1780","Pessoas","33","Pessoas","12583","Pessoas","9","Pessoas"
"MU","2303006","Caridade (CE)","3470","Pessoas","943","Pessoas","14","Pessoas","11939","Pessoas","11","Pessoas"
"MU","2303105","Cariré (CE)","4189","Pessoas","1347","Pessoas","35","Pessoas","12051","Pessoas","10","Pessoas"
"MU","2303204","Caririaçu (CE)","7332","Pessoas","1362","Pessoas","52","Pessoas","17557","Pessoas","17","Pessoas"
"MU","2303303","Cariús (CE)","6427","Pessoas","1063","Pessoas","37","Pessoas","9481","Pessoas","6","Pessoas"
"MU","2303402","Carnaubal (CE)","6839","Pessoas","797","Pessoas","14","Pessoas","8814","Pessoas","744","Pessoas"
"MU","2303501","Cascavel (CE)","16164","Pessoas","4223","Pessoas","97","Pessoas","52134","Pessoas","98","Pessoas"
"MU","2303600","Catarina (CE)","3184","Pessoas","632","Pessoas","12","Pessoas","6414","Pessoas","1","Pessoas"
"MU","2303659","Catunda (CE)","2239","Pessoas","387","Pessoas","21","Pessoas","7729","Pessoas","67","Pessoas"
"MU","2303709","Caucaia (CE)","87058","Pessoas","26386","Pessoas","463","Pessoas","229860","Pessoas","11904","Pessoas"
"MU","2303808","Cedro (CE)","7590","Pessoas","1569","Pessoas","14","Pessoas","13171","Pessoas","-","Pessoas"
"MU","2303907","Chaval (CE)","2690","Pessoas","782","Pessoas","6","Pessoas","8984","Pessoas","-","Pessoas"
"MU","2303931","Choró (CE)","1747","Pessoas","559","Pessoas","1","Pessoas","9805","Pessoas","-","Pessoas"
"MU","2303956","Chorozinho (CE)","4933","Pessoas","1535","Pessoas","5","Pessoas","13678","Pessoas","12","Pessoas"
"MU","2304004","Coreaú (CE)","6138","Pessoas","942","Pessoas","2","Pessoas","13870","Pessoas","1","Pessoas"
"MU","2304103","Crateús (CE)","22019","Pessoas","5076","Pessoas","92","Pessoas","47030","Pessoas","2172","Pessoas"
"MU","2304202","Crato (CE)","35461","Pessoas","16519","Pessoas","463","Pessoas","78251","Pessoas","353","Pessoas"
"MU","2304236","Croatá (CE)","4554","Pessoas","545","Pessoas","64","Pessoas","12313","Pessoas","5","Pessoas"
"MU","2304251","Cruz (CE)","9135","Pessoas","1232","Pessoas","48","Pessoas","19318","Pessoas","28","Pessoas"
"MU","2304269","Deputado Irapuan Pinheiro (CE)","2461","Pessoas","349","Pessoas","5","Pessoas","6117","Pessoas","-","Pessoas"
"MU","2304277","Ereré (CE)","2458","Pessoas","469","Pessoas","4","Pessoas","3539","Pessoas","4","Pessoas"
"MU","2304285","Eusébio (CE)","21940","Pessoas","3531","Pessoas","97","Pessoas","48548","Pessoas","54","Pessoas"
"MU","2304301","Farias Brito (CE)","4847","Pessoas","1212","Pessoas","20","Pessoas","12130","Pessoas","8","Pessoas"
"MU","2304350","Forquilha (CE)","5542","Pessoas","1820","Pessoas","106","Pessoas","16697","Pessoas","7","Pessoas"
"MU","2304400","Fortaleza (CE)","793975","Pessoas","171018","Pessoas","3127","Pessoas","1456901","Pessoas","3000","Pessoas"
"MU","2304459","Fortim (CE)","4464","Pessoas","1184","Pessoas","11","Pessoas","11618","Pessoas","17","Pessoas"
"MU","2304509","Frecheirinha (CE)","4208","Pessoas","776","Pessoas","33","Pessoas","10630","Pessoas","10","Pessoas"
"MU","2304608","General Sampaio (CE)","1517","Pessoas","346","Pessoas","4","Pessoas","4867","Pessoas","-","Pessoas"
"MU","2304657","Graça (CE)","4279","Pessoas","898","Pessoas","12","Pessoas","8602","Pessoas","10","Pessoas"
"MU","2304707","Granja (CE)","9989","Pessoas","3010","Pessoas","93","Pessoas","40223","Pessoas","29","Pessoas"
"MU","2304806","Granjeiro (CE)","1347","Pessoas","466","Pessoas","12","Pessoas","3015","Pessoas","1","Pessoas"
"MU","2304905","Groaíras (CE)","3814","Pessoas","711","Pessoas","51","Pessoas","6324","Pessoas","9","Pessoas"
"MU","2304954","Guaiúba (CE)","4654","Pessoas","2141","Pessoas","19","Pessoas","17509","Pessoas","2","Pessoas"
"MU","2305001","Guaraciaba do Norte (CE)","12632","Pessoas","1551","Pessoas","110","Pessoas","27724","Pessoas","36","Pessoas"
"MU","2305100","Guaramiranga (CE)","883","Pessoas","343","Pessoas","5","Pessoas","4423","Pessoas","-","Pessoas"
"MU","2305209","Hidrolândia (CE)","5634","Pessoas","1126","Pessoas","34","Pessoas","11056","Pessoas","4","Pessoas"
"MU","2305233","Horizonte (CE)","15709","Pessoas","4801","Pessoas","59","Pessoas","54085","Pessoas","98","Pessoas"
"MU","2305266","Ibaretama (CE)","2521","Pessoas","773","Pessoas","-","Pessoas","8662","Pessoas","-","Pessoas"
"MU","2305308","Ibiapina (CE)","6087","Pessoas","872","Pessoas","23","Pessoas","16974","Pessoas","7","Pessoas"
"MU","2305332","Ibicuitinga (CE)","3504","Pessoas","476","Pessoas","19","Pessoas","7606","Pessoas","6","Pessoas"
"MU","2305357","Icapuí (CE)","6914","Pessoas","2012","Pessoas","29","Pessoas","12471","Pessoas","6","Pessoas"
"MU","2305407","Icó (CE)","19302","Pessoas","3596","Pessoas","38","Pessoas","39701","Pessoas","5","Pessoas"
"MU","2305506","Iguatu (CE)","34208","Pessoas","6727","Pessoas","80","Pessoas","56931","Pessoas","114","Pessoas"
"MU","2305605","Independência (CE)","8106","Pessoas","1510","Pessoas","13","Pessoas","14376","Pessoas","19","Pessoas"
"MU","2305654","Ipaporanga (CE)","2994","Pessoas","561","Pessoas","23","Pessoas","7992","Pessoas","5","Pessoas"
"MU","2305704","Ipaumirim (CE)","4024","Pessoas","837","Pessoas","7","Pessoas","7214","Pessoas","1","Pessoas"
"MU","2305803","Ipu (CE)","12960","Pessoas","2346","Pessoas","46","Pessoas","25700","Pessoas","29","Pessoas"
"MU","2305902","Ipueiras (CE)","10320","Pessoas","1983","Pessoas","127","Pessoas","24305","Pessoas","62","Pessoas"
"MU","2306009","Iracema (CE)","5052","Pessoas","1032","Pessoas","2","Pessoas","7909","Pessoas","6","Pessoas"
"MU","2306108","Irauçuba (CE)","4530","Pessoas","1029","Pessoas","48","Pessoas","18302","Pessoas","6","Pessoas"
"MU","2306207","Itaiçaba (CE)","2226","Pessoas","338","Pessoas","5","Pessoas","4964","Pessoas","3","Pessoas"
"MU","2306256","Itaitinga (CE)","13644","Pessoas","4751","Pessoas","154","Pessoas","46043","Pessoas","56","Pessoas"
"MU","2306306","Itapajé (CE)","11624","Pessoas","2042","Pessoas","67","Pessoas","32671","Pessoas","18","Pessoas"
"MU","2306405","Itapipoca (CE)","27474","Pessoas","7579","Pessoas","212","Pessoas","95226","Pessoas","629","Pessoas"
"MU","2306504","Itapiúna (CE)","3621","Pessoas","1983","Pessoas","38","Pessoas","12198","Pessoas","1","Pessoas"
"MU","2306553","Itarema (CE)","9176","Pessoas","2162","Pessoas","96","Pessoas","27838","Pessoas","3684","Pessoas"
"MU","2306603","Itatira (CE)","3989","Pessoas","1013","Pessoas","10","Pessoas","15408","Pessoas","3","Pessoas"
"MU","2306702","Jaguaretama (CE)","3420","Pessoas","898","Pessoas","3","Pessoas","12908","Pessoas","3","Pessoas"
"MU","2306801","Jaguaribara (CE)","2971","Pessoas","1020","Pessoas","8","Pessoas","6350","Pessoas","7","Pessoas"
"MU","2306900","Jaguaribe (CE)","10506","Pessoas","2189","Pessoas","38","Pessoas","20984","Pessoas","8","Pessoas"
"MU","2307007","Jaguaruana (CE)","9891","Pessoas","2031","Pessoas","76","Pessoas","19657","Pessoas","45","Pessoas"
"MU","2307106","Jardim (CE)","4965","Pessoas","2392","Pessoas","43","Pessoas","19979","Pessoas","31","Pessoas"
"MU","2307205","Jati (CE)","2154","Pessoas","442","Pessoas","11","Pessoas","5253","Pessoas","1","Pessoas"
"MU","2307254","Jijoca de Jericoacoara (CE)","6724","Pessoas","1206","Pessoas","34","Pessoas","17570","Pessoas","21","Pessoas"
"MU","2307304","Juazeiro do Norte (CE)","89668","Pessoas","25461","Pessoas","372","Pessoas","170366","Pessoas","248","Pessoas"
"MU","2307403","Jucás (CE)","7626","Pessoas","1667","Pessoas","4","Pessoas","14615","Pessoas","10","Pessoas"
"MU","2307502","Lavras da Mangabeira (CE)","9303","Pessoas","2275","Pessoas","6","Pessoas","19209","Pessoas","9","Pessoas"
"MU","2307601","Limoeiro do Norte (CE)","22537","Pessoas","3941","Pessoas","62","Pessoas","32971","Pessoas","49","Pessoas"
"MU","2307635","Madalena (CE)","3708","Pessoas","1424","Pessoas","94","Pessoas","11666","Pessoas","4","Pessoas"
"MU","2307650","Maracanaú (CE)","58179","Pessoas","15114","Pessoas","285","Pessoas","157320","Pessoas","3603","Pessoas"
"MU","2307700","Maranguape (CE)","25261","Pessoas","8602","Pessoas","73","Pessoas","71044","Pessoas","113","Pessoas"
"MU","2307809","Marco (CE)","6082","Pessoas","2117","Pessoas","9","Pessoas","17577","Pessoas","13","Pessoas"
"MU","2307908","Martinópole (CE)","2279","Pessoas","763","Pessoas","15","Pessoas","7780","Pessoas","9","Pessoas"
"MU","2308005","Massapê (CE)","6372","Pessoas","2365","Pessoas","102","Pessoas","28842","Pessoas","14","Pessoas"
"MU","2308104","Mauriti (CE)","12562","Pessoas","3593","Pessoas","52","Pessoas","29344","Pessoas","10","Pessoas"
"MU","2308203","Meruoca (CE)","2423","Pessoas","1056","Pessoas","1","Pessoas","11673","Pessoas","4","Pessoas"
"MU","2308302","Milagres (CE)","6739","Pessoas","2379","Pessoas","46","Pessoas","16730","Pessoas","6","Pessoas"
"MU","2308351","Milhã (CE)","5338","Pessoas","670","Pessoas","3","Pessoas","8107","Pessoas","4","Pessoas"
"MU","2308377","Miraíma (CE)","3150","Pessoas","681","Pessoas","12","Pessoas","10344","Pessoas","6","Pessoas"
"MU","2308401","Missão Velha (CE)","7994","Pessoas","3930","Pessoas","45","Pessoas","24809","Pessoas","44","Pessoas"
"MU","2308500","Mombaça (CE)","11229","Pessoas","1602","Pessoas","25","Pessoas","24875","Pessoas","4","Pessoas"
"MU","2308609","Monsenhor Tabosa (CE)","3444","Pessoas","444","Pessoas","17","Pessoas","9806","Pessoas","3436","Pessoas"
"MU","2308708","Morada Nova (CE)","21356","Pessoas","3261","Pessoas","21","Pessoas","36781","Pessoas","23","Pessoas"
"MU","2308807","Moraújo (CE)","1525","Pessoas","445","Pessoas","3","Pessoas","6281","Pessoas","-","Pessoas"
"MU","2308906","Morrinhos (CE)","5721","Pessoas","1782","Pessoas","17","Pessoas","15155","Pessoas","78","Pessoas"
"MU","2309003","Mucambo (CE)","4984","Pessoas","650","Pessoas","13","Pessoas","8013","Pessoas","6","Pessoas"
"MU","2309102","Mulungu (CE)","2403","Pessoas","708","Pessoas","34","Pessoas","7413","Pessoas","11","Pessoas"
"MU","2309201","Nova Olinda (CE)","3715","Pessoas","1024","Pessoas","6","Pessoas","10645","Pessoas","5","Pessoas"
"MU","2309300","Nova Russas (CE)","8653","Pessoas","1488","Pessoas","12","Pessoas","20514","Pessoas","31","Pessoas"
"MU","2309409","Novo Oriente (CE)","7482","Pessoas","1249","Pessoas","46","Pessoas","18302","Pessoas","466","Pessoas"
"MU","2309458","Ocara (CE)","5683","Pessoas","1996","Pessoas","43","Pessoas","16752","Pessoas","19","Pessoas"
"MU","2309508","Orós (CE)","6171","Pessoas","1113","Pessoas","14","Pessoas","12373","Pessoas","4","Pessoas"
"MU","2309607","Pacajus (CE)","16669","Pessoas","4781","Pessoas","68","Pessoas","49397","Pessoas","65","Pessoas"
"MU","2309706","Pacatuba (CE)","19239","Pessoas","6820","Pessoas","96","Pessoas","54268","Pessoas","1098","Pessoas"
"MU","2309805","Pacoti (CE)","2191","Pessoas","687","Pessoas","-","Pessoas","8307","Pessoas","1","Pessoas"
"MU","2309904","Pacujá (CE)","1968","Pessoas","538","Pessoas","1","Pessoas","3662","Pessoas","6","Pessoas"
"MU","2310001","Palhano (CE)","2486","Pessoas","499","Pessoas","4","Pessoas","6354","Pessoas","3","Pessoas"
"MU","2310100","Palmácia (CE)","2092","Pessoas","743","Pessoas","8","Pessoas","7392","Pessoas","7","Pessoas"
"MU","2310209","Paracuru (CE)","9119","Pessoas","2692","Pessoas","58","Pessoas","27002","Pessoas","107","Pessoas"
"MU","2310258","Paraipaba (CE)","7803","Pessoas","1439","Pessoas","38","Pessoas","22922","Pessoas","14","Pessoas"
"MU","2310308","Parambu (CE)","9850","Pessoas","2214","Pessoas","99","Pessoas","19266","Pessoas","16","Pessoas"
"MU","2310407","Paramoti (CE)","2034","Pessoas","456","Pessoas","13","Pessoas","7876","Pessoas","5","Pessoas"
"MU","2310506","Pedra Branca (CE)","9676","Pessoas","1409","Pessoas","52","Pessoas","29040","Pessoas","10","Pessoas"
"MU","2310605","Penaforte (CE)","2250","Pessoas","612","Pessoas","7","Pessoas","6097","Pessoas","6","Pessoas"
"MU","2310704","Pentecoste (CE)","9751","Pessoas","2386","Pessoas","47","Pessoas","25615","Pessoas","14","Pessoas"
"MU","2310803","Pereiro (CE)","5256","Pessoas","994","Pessoas","9","Pessoas","9008","Pessoas","7","Pessoas"
"MU","2310852","Pindoretama (CE)","5066","Pessoas","1717","Pessoas","29","Pessoas","16542","Pessoas","36","Pessoas"
"MU","2310902","Piquet Carneiro (CE)","5690","Pessoas","781","Pessoas","3","Pessoas","10135","Pessoas","5","Pessoas"
"MU","2310951","Pires Ferreira (CE)","3018","Pessoas","462","Pessoas","6","Pessoas","7120","Pessoas","-","Pessoas"
"MU","2311009","Poranga (CE)","3478","Pessoas","420","Pessoas","10","Pessoas","6900","Pessoas","1257","Pessoas"
"MU","2311108","Porteiras (CE)","3396","Pessoas","1212","Pessoas","37","Pessoas","12390","Pessoas","15","Pessoas"
"MU","2311207","Potengi (CE)","2305","Pessoas","905","Pessoas","21","Pessoas","5601","Pessoas","1","Pessoas"
"MU","2311231","Potiretama (CE)","3127","Pessoas","316","Pessoas","1","Pessoas","2530","Pessoas","-","Pessoas"
