"Tabela 9605 - População residente, por cor ou raça, nos Censos Demográficos"
"Variável - População residente"
"Nível","Cód.","Município","Ano x Cor ou raça"
"Nível","Cód.","Município","2022"
"Nível","Cód.","Município","Branca",,"Preta",,"Amarela",,"Parda",,"Indígena"
"MU","1101559","Teixeirópolis (RO)","1367","Pessoas","392","Pessoas","8","Pessoas","2486","Pessoas","3","Pessoas"
"MU","1101609","Theobroma (RO)","2441","Pessoas","674","Pessoas","15","Pessoas","4975","Pessoas","8","Pessoas"
"MU","1101708","Urupá (RO)","3088","Pessoas","705","Pessoas","33","Pessoas","6888","Pessoas","11","Pessoas"
"MU","1101757","Vale do Anari (RO)","2145","Pessoas","723","Pessoas","7","Pessoas","4902","Pessoas","11","Pessoas"
"MU","1101807","Vale do Paraíso (RO)","1867","Pessoas","522","Pessoas","2","Pessoas","4085","Pessoas","3","Pessoas"
"MU","1200013","Acrelândia (AC)","3477","Pessoas","1670","Pessoas","56","Pessoas","8788","Pessoas","30","Pessoas"
"MU","1200054","Assis Brasil (AC)","1306","Pessoas","351","Pessoas","13","Pessoas","5234","Pessoas","1195","Pessoas"
"MU","1200104","Brasiléia (AC)","5069","Pessoas","1662","Pessoas","35","Pessoas","18957","Pessoas","277","Pessoas"
"MU","1200138","Bujari (AC)","2634","Pessoas","1903","Pessoas","50","Pessoas","8300","Pessoas","30","Pessoas"
"MU","1200179","Capixaba (AC)","1433","Pessoas","1012","Pessoas","38","Pessoas","7902","Pessoas","7","Pessoas"
"MU","1200203","Cruzeiro do Sul (AC)","21032","Pessoas","7159","Pessoas","122","Pessoas","61940","Pessoas","1632","Pessoas"
"MU","1200252","Epitaciolândia (AC)","3435","Pessoas","1464","Pessoas","14","Pessoas","13818","Pessoas","26","Pessoas"
"MU","1200302","Feijó (AC)","7781","Pessoas","2316","Pessoas","24","Pessoas","21113","Pessoas","4191","Pessoas"
"MU","1200328","Jordão (AC)","1018","Pessoas","543","Pessoas","10","Pessoas","3859","Pessoas","3792","Pessoas"
"MU","1200336","Mâncio Lima (AC)","2942","Pessoas","1265","Pessoas","39","Pessoas","12991","Pessoas","2057","Pessoas"
"MU","1200344","Manoel Urbano (AC)","1838","Pessoas","1503","Pessoas","14","Pessoas","7685","Pessoas","955","Pessoas"
"MU","1200351","Marechal Thaumaturgo (AC)","2776","Pessoas","1233","Pessoas","48","Pessoas","10059","Pessoas","2977","Pessoas"
"MU","1200385","Plácido de Castro (AC)","3500","Pessoas","1603","Pessoas","28","Pessoas","11377","Pessoas","52","Pessoas"
"MU","1200393","Porto Walter (AC)","2319","Pessoas","553","Pessoas","5","Pessoas","7077","Pessoas","781","Pessoas"
"MU","1200401","Rio Branco (AC)","88817","Pessoas","34518","Pessoas","1089","Pessoas","238568","Pessoas","1762","Pessoas"
"MU","1200427","Rodrigues Alves (AC)","2667","Pessoas","1151","Pessoas","57","Pessoas","10986","Pessoas","77","Pessoas"
"MU","1200435","Santa Rosa do Purus (AC)","517","Pessoas","88","Pessoas","1","Pessoas","1864","Pessoas","4253","Pessoas"
"MU","1200450","Senador Guiomard (AC)","4060","Pessoas","1945","Pessoas","44","Pessoas","15371","Pessoas","34","Pessoas"
"MU","1200500","Sena Madureira (AC)","6484","Pessoas","2122","Pessoas","38","Pessoas","31117","Pessoas","1582","Pessoas"
"MU","1200609","Tarauacá (AC)","8268","Pessoas","3390","Pessoas","58","Pessoas","28419","Pessoas","3330","Pessoas"
"MU","1200708","Xapuri (AC)","3131","Pessoas","1460","Pessoas","40","Pessoas","13570","Pessoas","42","Pessoas"
