"Tabela 4712 - Domicílios particulares permanentes ocupados, Moradores em domicílios particulares permanentes ocupados e Média de moradores em domicílios particulares permanentes ocupados"
"Variável - Domicílios particulares permanentes ocupados"
"Nível","Cód.","Município","Ano"
"Nível","Cód.","Município","2022"
"MU","1301852","Iranduba (AM)","17757","Domicílios"
"MU","1301902","Itacoatiara (AM)","27664","Domicílios"
"MU","1301951","Itamarati (AM)","2333","Domicílios"
"MU","1302009","Itapiranga (AM)","2599","Domicílios"
"MU","1302108","Japurá (AM)","1735","Domicílios"
"MU","1302207","Juruá (AM)","2529","Domicílios"
"MU","1302306","Jutaí (AM)","4845","Domicílios"
"MU","1302405","Lábrea (AM)","11269","Domicílios"
"MU","1302504","Manacapuru (AM)","26883","Domicílios"
"MU","1302553","Manaquiri (AM)","4956","Domicílios"
"MU","1302603","Manaus (AM)","630062","Domicílios"
"MU","1302702","Manicoré (AM)","12170","Domicílios"
"MU","1302801","Maraã (AM)","3021","Domicílios"
"MU","1302900","Maués (AM)","13271","Domicílios"
"MU","1303007","Nhamundá (AM)","4570","Domicílios"
"MU","1303106","Nova Olinda do Norte (AM)","6480","Domicílios"
"MU","1303205","Novo Airão (AM)","4165","Domicílios"
"MU","1303304","Novo Aripuanã (AM)","4785","Domicílios"
"MU","1303403","Parintins (AM)","23900","Domicílios"
"MU","1303502","Pauini (AM)","3960","Domicílios"
"MU","1303536","Presidente Figueiredo (AM)","9389","Domicílios"
"MU","1303569","Rio Preto da Eva (AM)","7806","Domicílios"
"MU","1303601","Santa Isabel do Rio Negro (AM)","2740","Domicílios"
"MU","1303700","Santo Antônio do Içá (AM)","5253","Domicílios"
"MU","1303809","São Gabriel da Cachoeira (AM)","10603","Domicílios"
"MU","1303908","São Paulo de Olivença (AM)","6010","Domicílios"
"MU","1303957","São Sebastião do Uatumã (AM)","2665","Domicílios"
"MU","1304005","Silves (AM)","2825","Domicílios"
"MU","1304062","Tabatinga (AM)","13839","Domicílios"
"MU","1304104","Tapauá (AM)","4792","Domicílios"
"MU","1304203","Tefé (AM)","17460","Domicílios"
"MU","1304237","Tonantins (AM)","3380","Domicílios"
"MU","1304260","Uarini (AM)","3057","Domicílios"
"MU","1304302","Urucará (AM)","4279","Domicílios"
"MU","1304401","Urucurituba (AM)","5202","Domicílios"
"MU","1400027","Amajari (RR)","2996","Domicílios"
"MU","1400050","Alto Alegre (RR)","5060","Domicílios"
"MU","1400100","Boa Vista (RR)","119011","Domicílios"
"MU","1400159","Bonfim (RR)","3498","Domicílios"
"MU","1400175","Cantá (RR)","5429","Domicílios"
"MU","1400209","Caracaraí (RR)","6087","Domicílios"
"MU","1400233","Caroebe (RR)","3130","Domicílios"
